,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
10,,,5500,5500,5500.0, 36 months,22.35,211.05,D,D5,,< 1 year,MORTGAGE,50000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,711xx,LA,15.94,1.0,May-2007,0.0,22.0,,6.0,0.0,4529,94.4,13.0,w,5280.75,5280.75,411.86,411.86,219.25,192.61,0.0,0.0,0.0,Feb-2019,211.05,Mar-2019,Feb-2019,0.0,22.0,1,Individual,,,,0.0,0.0,228151.0,2.0,2.0,1.0,2.0,4.0,13656.0,87.0,1.0,1.0,2837.0,89.0,4800.0,2.0,0.0,0.0,3.0,38025.0,271.0,94.4,0.0,0.0,139.0,105.0,5.0,4.0,3.0,5.0,22.0,4.0,22.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,6.0,0.0,0.0,1.0,2.0,84.6,100.0,0.0,0.0,243452.0,18185.0,4800.0,15649.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
11,,,28000,28000,28000.0, 60 months,11.31,613.13,B,B3,Consultant,2 years,MORTGAGE,70000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,300xx,GA,22.01,0.0,Dec-2003,1.0,,,10.0,0.0,56152,55.9,23.0,w,27298.25,27298.25,1199.87,1199.87,701.75,498.12,0.0,0.0,0.0,Feb-2019,613.13,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,177406.0,1.0,1.0,0.0,0.0,62.0,9484.0,54.0,1.0,2.0,16284.0,56.0,100400.0,1.0,0.0,1.0,2.0,17741.0,44248.0,55.9,0.0,0.0,180.0,165.0,6.0,6.0,1.0,6.0,,6.0,,0.0,5.0,5.0,8.0,9.0,13.0,8.0,9.0,5.0,10.0,0.0,0.0,0.0,1.0,100.0,37.5,0.0,0.0,259435.0,65636.0,100400.0,17535.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
12,,,11200,11200,11200.0, 36 months,8.19,351.95,A,A4,Job Coach Supervisor,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,840xx,UT,23.6,0.0,Jun-2003,0.0,,,20.0,0.0,8836,16.6,27.0,w,10647.1,10647.1,696.26,696.26,552.9,143.36,0.0,0.0,0.0,Feb-2019,351.95,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,249643.0,2.0,8.0,2.0,3.0,1.0,69959.0,68.0,0.0,0.0,4603.0,45.0,53100.0,3.0,0.0,3.0,3.0,12482.0,26289.0,24.7,0.0,0.0,170.0,186.0,25.0,1.0,4.0,65.0,,1.0,,0.0,4.0,5.0,5.0,5.0,13.0,10.0,10.0,5.0,20.0,0.0,0.0,0.0,2.0,100.0,20.0,0.0,0.0,345654.0,78795.0,34900.0,114578.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
13,,,6500,6500,6500.0, 36 months,17.97,234.9,D,D1,Quality Field Engineer,4 years,MORTGAGE,154000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,278xx,NC,28.78,2.0,Oct-2008,0.0,6.0,,27.0,0.0,23754,60.4,41.0,w,6222.82,6222.82,460.07,460.07,277.18,182.89,0.0,0.0,0.0,Feb-2019,234.9,Mar-2019,Feb-2019,0.0,6.0,1,Individual,,,,0.0,0.0,116747.0,2.0,8.0,3.0,5.0,1.0,92993.0,78.0,1.0,6.0,3943.0,72.0,39300.0,3.0,3.0,3.0,11.0,4324.0,4578.0,62.8,1.0,0.0,122.0,74.0,11.0,1.0,0.0,13.0,,4.0,,1.0,5.0,19.0,5.0,8.0,17.0,19.0,24.0,19.0,27.0,0.0,0.0,1.0,4.0,90.2,20.0,0.0,0.0,169160.0,116747.0,12300.0,129860.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
14,,,22000,22000,22000.0, 60 months,12.98,500.35,B,B5,Teller ,10+ years,MORTGAGE,65000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,413xx,KY,11.19,0.0,Jul-1990,0.0,,,8.0,0.0,134,0.5,16.0,w,21472.4,21472.4,976.9,976.9,527.6,449.3,0.0,0.0,0.0,Feb-2019,500.35,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,22337.0,1.0,1.0,0.0,0.0,36.0,22127.0,,1.0,2.0,3.0,1.0,29500.0,0.0,0.0,0.0,2.0,3191.0,27197.0,0.0,0.0,0.0,162.0,341.0,4.0,4.0,1.0,4.0,,15.0,,0.0,1.0,2.0,3.0,4.0,6.0,6.0,8.0,2.0,8.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,71932.0,22337.0,27200.0,38535.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
15,,,3500,3500,3500.0, 36 months,16.14,123.3,C,C4,respritory therapist,10+ years,MORTGAGE,80000.0,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,604xx,IL,13.63,0.0,Dec-1988,0.0,43.0,,7.0,0.0,8952,58.5,27.0,w,3346.52,3346.52,218.36,218.36,153.48,64.88,0.0,0.0,0.0,Feb-2019,123.3,Mar-2019,Feb-2019,0.0,48.0,1,Joint App,104424.0,10.77,Verified,0.0,0.0,16085.0,2.0,2.0,0.0,0.0,57.0,7133.0,26.0,3.0,4.0,3873.0,38.0,15300.0,0.0,0.0,1.0,4.0,2298.0,4127.0,48.4,0.0,0.0,144.0,360.0,4.0,4.0,2.0,7.0,,7.0,117.0,7.0,1.0,3.0,2.0,3.0,10.0,5.0,15.0,3.0,7.0,0.0,0.0,0.0,3.0,76.0,50.0,0.0,0.0,42328.0,16085.0,8000.0,27028.0,10286.0,May-2002,2.0,3.0,2.0,44.1,0.0,6.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
16,,,7000,7000,7000.0, 36 months,12.98,235.8,B,B5,Worship Director,4 years,MORTGAGE,102500.0,Not Verified,Dec-2018,Current,n,,,house,Home buying,436xx,OH,15.2,0.0,Dec-2002,0.0,38.0,,9.0,0.0,1057,7.2,21.0,w,6678.1,6678.1,464.03,464.03,321.9,142.13,0.0,0.0,0.0,Feb-2019,235.8,Mar-2019,Feb-2019,0.0,68.0,1,Individual,,,,0.0,0.0,174891.0,1.0,4.0,1.0,1.0,10.0,75652.0,78.0,1.0,2.0,0.0,69.0,14700.0,1.0,0.0,3.0,3.0,19432.0,7200.0,0.0,0.0,0.0,182.0,192.0,6.0,6.0,4.0,26.0,,10.0,,1.0,0.0,2.0,2.0,3.0,8.0,4.0,9.0,2.0,9.0,0.0,0.0,0.0,2.0,80.0,0.0,0.0,0.0,214624.0,76709.0,7200.0,96826.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
17,,,25000,25000,25000.0, 60 months,16.91,620.11,C,C5,Processor ,10+ years,MORTGAGE,23878.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,453xx,OH,6.26,0.0,Oct-2010,0.0,,,4.0,0.0,3044,54.4,8.0,w,24460.59,24460.59,1204.99,1204.99,539.41,665.58,0.0,0.0,0.0,Feb-2019,620.11,Mar-2019,Feb-2019,0.0,,1,Joint App,64793.0,18.91,Not Verified,0.0,0.0,79660.0,0.0,0.0,0.0,0.0,47.0,0.0,,0.0,0.0,1044.0,54.0,5600.0,0.0,0.0,0.0,0.0,19915.0,0.0,104.4,0.0,0.0,90.0,98.0,27.0,27.0,2.0,84.0,,,,0.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,92334.0,3044.0,1000.0,0.0,24654.0,Aug-2003,0.0,2.0,9.0,78.9,1.0,12.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
18,,,16000,16000,16000.0, 60 months,20.89,431.87,D,D4,Neonatal Nurse Practitioner,4 years,MORTGAGE,120000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,720xx,AR,27.57,1.0,Jul-2005,0.0,8.0,,13.0,0.0,18826,82.2,37.0,w,15690.66,15690.66,835.89,835.89,309.34,526.55,0.0,0.0,0.0,Feb-2019,431.87,Mar-2019,Feb-2019,0.0,35.0,1,Individual,,,,0.0,0.0,434239.0,1.0,6.0,1.0,4.0,4.0,247928.0,90.0,1.0,1.0,9439.0,87.0,22900.0,6.0,1.0,2.0,5.0,33403.0,430.0,96.8,0.0,0.0,136.0,146.0,12.0,4.0,2.0,12.0,48.0,4.0,8.0,2.0,2.0,4.0,2.0,5.0,24.0,6.0,10.0,4.0,13.0,0.0,0.0,0.0,2.0,86.5,100.0,0.0,0.0,444217.0,266754.0,13500.0,239338.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
19,,,13000,13000,13000.0, 60 months,14.47,305.67,C,C2,Stationary Engineer,10+ years,MORTGAGE,75000.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,741xx,OK,26.16,0.0,Feb-2001,1.0,,,9.0,0.0,15551,58.2,13.0,w,12700.38,12700.38,595.66,595.66,299.62,296.04,0.0,0.0,0.0,Feb-2019,305.67,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,131400.0,0.0,5.0,1.0,4.0,10.0,35369.0,70.0,0.0,0.0,13287.0,66.0,26700.0,2.0,0.0,1.0,4.0,14600.0,11149.0,58.2,0.0,0.0,159.0,214.0,81.0,10.0,1.0,81.0,,5.0,,0.0,3.0,3.0,3.0,3.0,8.0,3.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,176598.0,50920.0,26700.0,50898.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
20,,,10000,10000,10000.0, 36 months,13.56,339.65,C,C1,,< 1 year,MORTGAGE,65000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,937xx,CA,10.62,0.0,Dec-2004,1.0,30.0,100.0,14.0,1.0,9765,74.0,28.0,w,9544.14,9544.14,668.0,668.0,455.86,212.14,0.0,0.0,0.0,Feb-2019,339.65,Mar-2019,Feb-2019,0.0,45.0,1,Individual,,,,0.0,6389.0,45972.0,0.0,5.0,0.0,0.0,65.0,36207.0,104.0,2.0,4.0,3359.0,96.0,13200.0,1.0,0.0,2.0,4.0,3536.0,1777.0,84.5,0.0,0.0,168.0,142.0,7.0,7.0,0.0,7.0,35.0,5.0,30.0,2.0,5.0,6.0,5.0,7.0,17.0,9.0,11.0,6.0,14.0,0.0,0.0,0.0,2.0,77.8,80.0,1.0,0.0,48052.0,45972.0,11500.0,34852.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
21,,,13000,13000,13000.0, 36 months,14.47,447.29,C,C2,Exhibits director,10+ years,MORTGAGE,55000.0,Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,611xx,IL,10.58,0.0,Oct-2001,0.0,,,7.0,0.0,13478,82.2,17.0,w,12415.43,12415.43,878.9,878.9,584.57,294.33,0.0,0.0,0.0,Feb-2019,447.29,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,160.0,34996.0,0.0,1.0,0.0,0.0,25.0,400.0,40.0,0.0,2.0,4807.0,80.0,16400.0,0.0,0.0,0.0,4.0,4999.0,3024.0,78.2,0.0,0.0,122.0,206.0,14.0,14.0,3.0,14.0,,14.0,,0.0,3.0,4.0,4.0,6.0,6.0,5.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,41150.0,13878.0,13900.0,1000.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
22,,,9600,9600,9600.0, 36 months,23.4,373.62,E,E1,driver coordinator ,9 years,RENT,65000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,265xx,WV,23.01,1.0,Sep-2003,0.0,16.0,,12.0,0.0,10678,37.5,20.0,f,9223.52,9223.52,728.52,728.52,376.48,352.04,0.0,0.0,0.0,Feb-2019,373.62,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,66.0,24165.0,0.0,2.0,0.0,0.0,43.0,13487.0,33.0,1.0,1.0,2264.0,35.0,28500.0,0.0,0.0,0.0,1.0,2014.0,232.0,96.9,0.0,0.0,183.0,92.0,12.0,12.0,0.0,27.0,,15.0,30.0,0.0,7.0,9.0,7.0,8.0,8.0,10.0,12.0,9.0,12.0,0.0,0.0,0.0,1.0,90.0,85.7,0.0,0.0,68902.0,24165.0,7600.0,40402.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
